,Actual,Mean_Simulation,Simulated_24,Simulated_44,Simulated_20,Simulated_1,Simulated_40,Simulated_17,Simulated_49,Simulated_29,Simulated_10,Simulated_13,Simulated_37,Simulated_23,Simulated_26,Simulated_42,Simulated_14,Simulated_9,Simulated_48,Simulated_45,Simulated_27,Simulated_30,Simulated_6,Simulated_46,Simulated_18,Simulated_19,Simulated_12,Simulated_4,Simulated_15,Simulated_8,Simulated_2,Simulated_3,Simulated_35,Simulated_28,Simulated_22,Simulated_7,Simulated_21,Simulated_5,Simulated_25,Simulated_39,Simulated_41,Simulated_36,Simulated_16,Simulated_33,Simulated_0,Simulated_11,Simulated_43,Simulated_47,Simulated_32,Simulated_38,Simulated_34,Simulated_31,Deviation_Simulated_24,Deviation_Simulated_44,Deviation_Simulated_20,Deviation_Simulated_1,Deviation_Simulated_40,Deviation_Simulated_17,Deviation_Simulated_49,Deviation_Simulated_29,Deviation_Simulated_10,Deviation_Simulated_13,Deviation_Simulated_37,Deviation_Simulated_23,Deviation_Simulated_26,Deviation_Simulated_42,Deviation_Simulated_14,Deviation_Simulated_9,Deviation_Simulated_48,Deviation_Simulated_45,Deviation_Simulated_27,Deviation_Simulated_30,Deviation_Simulated_6,Deviation_Simulated_46,Deviation_Simulated_18,Deviation_Simulated_19,Deviation_Simulated_12,Deviation_Simulated_4,Deviation_Simulated_15,Deviation_Simulated_8,Deviation_Simulated_2,Deviation_Simulated_3,Deviation_Simulated_35,Deviation_Simulated_28,Deviation_Simulated_22,Deviation_Simulated_7,Deviation_Simulated_21,Deviation_Simulated_5,Deviation_Simulated_25,Deviation_Simulated_39,Deviation_Simulated_41,Deviation_Simulated_36,Deviation_Simulated_16,Deviation_Simulated_33,Deviation_Simulated_0,Deviation_Simulated_11,Deviation_Simulated_43,Deviation_Simulated_47,Deviation_Simulated_32,Deviation_Simulated_38,Deviation_Simulated_34,Deviation_Simulated_31
0,48893.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,51573.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,67140.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,82708.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,85684.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,85924.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,87629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,87133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,83846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,84571.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,88348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,87447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,86546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
