,SQALE_INDEX,COMMIT_DATE,S1213,RedundantThrowsDeclarationCheck,S00117,S00122,S1488,S1905,UselessImportCheck,DuplicatedBlocks,S1226,S00112,S1155,S00108,S1151,S1132,S1481
18004,57033,2014-07-23 18:17:17,389,74,100,115,15,3,62,91,27,105,32,33,90,98,7
18005,57239,2014-07-24 23:31:57,389,74,100,115,15,3,62,91,27,105,32,33,90,99,7
18006,57285,2014-07-26 02:11:37,389,74,101,115,15,3,63,91,27,105,31,33,90,99,7
18007,57438,2014-08-01 05:38:05,389,74,101,115,15,3,64,89,26,105,31,33,90,99,7
18008,57565,2014-08-14 06:08:48,389,74,104,115,15,3,66,89,26,105,31,33,90,97,7
18009,57582,2014-08-14 07:32:06,387,74,104,115,15,3,57,89,26,105,31,33,90,97,7
18010,57589,2014-08-19 20:50:41,387,76,106,115,15,3,57,89,26,105,31,33,90,97,7
18011,57605,2014-08-20 04:07:16,387,76,106,115,15,3,57,89,26,105,31,34,90,97,7
18012,57857,2014-08-24 05:42:45,387,76,107,115,15,3,57,90,26,105,31,34,90,97,7
18013,57884,2014-09-28 17:15:05,387,76,116,115,15,3,57,90,26,105,31,34,90,97,7
18014,58045,2014-10-28 04:35:14,387,76,116,115,15,3,57,90,26,106,31,37,90,97,7
18015,58459,2014-12-20 14:29:07,387,76,116,115,15,3,57,90,27,106,31,37,90,97,7
18016,58511,2015-02-06 05:17:31,387,76,116,115,15,3,56,90,27,106,31,36,90,97,7
18017,58710,2015-03-08 22:07:59,387,76,116,115,15,3,55,90,27,106,31,36,90,97,7
18018,58736,2015-03-15 07:54:59,387,76,116,115,15,3,53,90,27,106,31,36,90,97,7
18019,58771,2015-03-16 08:09:04,388,76,117,115,15,3,53,90,27,106,31,36,90,97,7
18020,57996,2015-03-17 17:06:07,389,76,118,115,15,3,53,91,27,106,31,38,90,99,7
18021,57998,2015-03-25 07:38:44,389,76,118,115,15,3,44,91,27,106,31,38,90,99,7
18022,59486,2015-03-28 19:08:52,389,76,118,115,15,3,44,91,27,106,31,38,90,99,7
18023,59497,2015-04-09 18:16:37,389,76,118,115,15,3,44,91,27,106,31,38,90,99,7
18024,59537,2015-05-05 02:38:36,389,76,118,115,15,3,44,91,27,106,31,38,90,99,7
18025,59641,2015-05-14 05:10:01,389,76,118,115,15,3,43,91,27,106,31,41,90,99,8
18026,59769,2015-05-14 16:40:52,391,76,117,115,15,3,43,92,27,106,31,41,90,99,8
18027,59177,2015-06-04 17:51:16,391,76,117,115,15,3,40,91,27,106,31,41,92,99,7
18028,59230,2015-06-06 01:48:52,391,76,117,115,15,3,40,91,27,107,31,41,90,99,7
18029,59259,2015-06-13 00:42:49,391,76,117,115,15,3,40,91,27,107,31,41,90,99,6
18030,57047,2015-06-27 00:03:30,391,76,117,115,15,3,40,91,27,107,31,41,90,99,6
18031,60967,2015-06-28 19:09:49,391,76,117,114,15,3,40,91,27,107,31,41,90,100,6
18032,60462,2015-07-07 05:11:49,371,76,117,114,15,3,40,91,27,109,31,41,90,98,6
18033,60467,2015-07-10 06:19:22,371,74,117,114,15,3,40,91,27,83,31,41,90,98,6
18034,60487,2015-09-06 18:02:42,371,74,117,114,15,3,40,91,27,83,31,41,90,98,6
18035,60513,2015-09-29 01:56:44,371,74,117,114,15,3,40,91,27,83,31,41,90,98,6
18036,60518,2015-10-18 17:00:41,371,74,117,114,15,3,39,91,27,83,31,41,90,98,6
18037,60575,2015-11-08 21:21:38,371,74,117,114,15,3,39,91,27,83,31,41,90,98,6
18038,60670,2015-11-08 21:36:17,371,74,117,113,15,3,39,91,27,83,31,41,90,98,6
18039,60710,2015-11-08 21:54:06,371,74,117,113,15,3,39,91,27,83,31,41,90,98,6
18040,60740,2015-11-21 21:18:10,371,74,117,113,15,3,39,91,27,83,31,41,90,98,6
18041,60766,2015-12-06 20:30:07,371,74,117,113,15,3,38,91,27,83,31,41,90,98,6
18042,60770,2015-12-07 04:59:37,371,74,117,113,15,3,36,91,27,83,31,41,90,98,6
18043,60880,2015-12-07 05:06:45,371,74,117,113,15,3,36,91,27,84,31,41,90,98,6
18044,60900,2015-12-07 05:26:27,371,74,117,113,15,3,36,91,27,85,31,41,90,98,6
18045,60923,2015-12-15 19:15:30,371,74,117,113,15,3,36,91,27,85,31,41,90,98,6
18046,60931,2016-03-02 06:46:43,371,74,117,113,15,3,36,91,27,85,31,41,90,98,6
18047,61148,2016-03-22 23:30:42,371,74,117,120,15,3,36,92,27,86,31,41,90,98,9
18048,61248,2016-05-02 16:15:28,378,74,117,115,17,3,36,92,29,85,31,41,90,99,9
18049,61619,2016-05-15 21:31:54,377,74,117,115,17,3,35,91,29,85,31,41,90,99,9
18050,61694,2016-06-15 17:11:39,377,74,117,115,17,3,33,91,29,85,31,41,90,99,9
18051,61834,2016-06-23 21:25:34,377,74,117,115,17,3,34,93,29,85,31,41,90,99,9
18052,61903,2016-06-23 21:45:43,377,74,117,115,17,3,34,93,29,86,31,41,90,99,9
18053,62536,2016-07-26 23:33:27,377,75,117,115,17,3,37,93,29,87,31,41,90,99,9
18054,62546,2016-07-29 23:02:27,377,75,117,115,17,3,37,93,29,87,31,41,90,99,9
18055,62727,2016-08-13 13:01:51,377,75,119,115,18,3,37,94,29,87,31,41,90,99,9
18056,62623,2016-08-23 23:36:09,377,77,119,115,19,3,32,94,29,92,31,41,90,99,9
18057,62776,2016-09-08 20:52:26,375,77,119,115,19,3,32,93,29,93,31,41,89,99,10
18058,62915,2016-09-08 20:59:36,375,77,119,115,19,3,32,93,29,93,31,41,89,99,10
18059,64090,2016-11-24 16:18:08,375,77,119,115,19,3,32,93,29,93,31,41,89,99,10
18060,64173,2016-12-20 13:47:25,376,77,119,115,19,3,32,93,29,93,31,41,89,99,10
18061,63858,2016-12-21 22:32:01,376,77,120,115,19,3,30,94,29,93,31,41,89,99,10
