,Actual,Mean_Simulation,Simulated_47,Simulated_30,Simulated_23,Simulated_15,Simulated_41,Simulated_13,Simulated_17,Simulated_45,Simulated_38,Simulated_22,Simulated_24,Simulated_49,Simulated_18,Simulated_12,Simulated_0,Simulated_34,Simulated_33,Simulated_42,Simulated_21,Simulated_5,Simulated_10,Simulated_37,Simulated_26,Simulated_36,Simulated_39,Simulated_32,Simulated_1,Simulated_40,Simulated_11,Simulated_19,Simulated_27,Simulated_2,Simulated_4,Simulated_31,Simulated_44,Simulated_8,Simulated_43,Simulated_46,Simulated_3,Simulated_16,Simulated_7,Simulated_14,Simulated_48,Simulated_9,Simulated_25,Simulated_28,Simulated_20,Simulated_6,Simulated_35,Simulated_29,Deviation_Simulated_47,Deviation_Simulated_30,Deviation_Simulated_23,Deviation_Simulated_15,Deviation_Simulated_41,Deviation_Simulated_13,Deviation_Simulated_17,Deviation_Simulated_45,Deviation_Simulated_38,Deviation_Simulated_22,Deviation_Simulated_24,Deviation_Simulated_49,Deviation_Simulated_18,Deviation_Simulated_12,Deviation_Simulated_0,Deviation_Simulated_34,Deviation_Simulated_33,Deviation_Simulated_42,Deviation_Simulated_21,Deviation_Simulated_5,Deviation_Simulated_10,Deviation_Simulated_37,Deviation_Simulated_26,Deviation_Simulated_36,Deviation_Simulated_39,Deviation_Simulated_32,Deviation_Simulated_1,Deviation_Simulated_40,Deviation_Simulated_11,Deviation_Simulated_19,Deviation_Simulated_27,Deviation_Simulated_2,Deviation_Simulated_4,Deviation_Simulated_31,Deviation_Simulated_44,Deviation_Simulated_8,Deviation_Simulated_43,Deviation_Simulated_46,Deviation_Simulated_3,Deviation_Simulated_16,Deviation_Simulated_7,Deviation_Simulated_14,Deviation_Simulated_48,Deviation_Simulated_9,Deviation_Simulated_25,Deviation_Simulated_28,Deviation_Simulated_20,Deviation_Simulated_6,Deviation_Simulated_35,Deviation_Simulated_29
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6607.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9697.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,9988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,9971.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9954.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
